display ip routing-table
Route Flags: R - relay, D - download to fib, T - to vpn-instance
------------------------------------------------------------------------------
Routing Tables: Public
         Destinations : 58       Routes : 58       

Destination/Mask    Proto   Pre  Cost      Flags NextHop         Interface

        0.0.0.0/0   ISIS-L2 115  4000        D   172.17.0.53     Eth-Trunk9
       10.0.0.0/24  Direct  0    0           D   10.0.0.1        Eth-Trunk30.1500
       10.0.0.1/32  Direct  0    0           D   127.0.0.1       Eth-Trunk30.1500
 45.167.183.255/32  ISIS-L2 115  4000        D   172.17.0.53     Eth-Trunk9
      127.0.0.0/8   Direct  0    0           D   127.0.0.1       InLoopBack0
      127.0.0.1/32  Direct  0    0           D   127.0.0.1       InLoopBack0
    172.17.0.10/31  ISIS-L2 115  2000        D   172.17.0.77     Eth-Trunk6
    172.17.0.20/31  ISIS-L2 115  2500        D   172.17.0.77     Eth-Trunk6
    172.17.0.32/31  Direct  0    0           D   172.17.0.33     Eth-Trunk2
    172.17.0.33/32  Direct  0    0           D   127.0.0.1       Eth-Trunk2
    172.17.0.34/31  ISIS-L2 115  5500        D   172.17.0.53     Eth-Trunk9
    172.17.0.44/31  ISIS-L2 115  6300        D   172.17.0.91     100GE0/0/4
    172.17.0.52/31  Direct  0    0           D   172.17.0.52     Eth-Trunk9
    172.17.0.52/32  Direct  0    0           D   127.0.0.1       Eth-Trunk9
    172.17.0.66/31  ISIS-L2 115  6510        D   172.17.0.32     Eth-Trunk2
    172.17.0.72/31  ISIS-L2 115  1000        D   172.17.0.53     Eth-Trunk9
    172.17.0.76/31  Direct  0    0           D   172.17.0.76     Eth-Trunk6
    172.17.0.76/32  Direct  0    0           D   127.0.0.1       Eth-Trunk6
    172.17.0.88/31  ISIS-L2 115  7500        D   172.17.0.53     Eth-Trunk9
    172.17.0.90/31  Direct  0    0           D   172.17.0.90     100GE0/0/4
    172.17.0.90/32  Direct  0    0           D   127.0.0.1       100GE0/0/4
    172.17.0.96/31  Direct  0    0           D   172.17.0.96     100GE0/0/3
    172.17.0.96/32  Direct  0    0           D   127.0.0.1       100GE0/0/3
    172.17.0.98/31  Direct  0    0           D   172.17.0.98     100GE0/0/5
    172.17.0.98/32  Direct  0    0           D   127.0.0.1       100GE0/0/5
   172.17.0.102/31  ISIS-L2 115  5800        D   172.17.0.91     100GE0/0/4
   172.17.0.110/31  ISIS-L2 115  1300        D   172.17.0.99     100GE0/0/5
     172.17.2.1/32  ISIS-L2 115  4000        D   172.17.0.53     Eth-Trunk9
     172.17.2.3/32  ISIS-L2 115  2000        D   172.17.0.77     Eth-Trunk6
     172.17.2.4/32  ISIS-L2 115  800         D   172.17.0.99     100GE0/0/5
     172.17.2.5/32  ISIS-L2 115  5500        D   172.17.0.53     Eth-Trunk9
     172.17.2.6/32  ISIS-L2 115  1000        D   172.17.0.53     Eth-Trunk9
     172.17.2.7/32  Direct  0    0           D   127.0.0.1       LoopBack2
     172.17.2.8/32  ISIS-L2 115  500         D   172.17.0.77     Eth-Trunk6
     172.17.2.9/32  ISIS-L2 115  998         D   172.17.0.77     Eth-Trunk6
    172.17.2.10/32  ISIS-L2 115  800         D   172.17.0.91     100GE0/0/4
    172.17.2.11/32  ISIS-L2 115  6510        D   172.17.0.32     Eth-Trunk2
    172.17.2.12/32  ISIS-L2 115  1300        D   172.17.0.99     100GE0/0/5
    172.17.2.13/32  ISIS-L2 115  6010        D   172.17.0.32     Eth-Trunk2
    172.17.2.14/32  ISIS-L2 115  1400        D   172.17.0.99     100GE0/0/5
    172.17.2.15/32  ISIS-L2 115  500         D   172.17.0.53     Eth-Trunk9
    172.17.2.17/32  ISIS-L2 115  1010        D   172.17.0.32     Eth-Trunk2
     172.17.6.1/32  ISIS-L2 115  4000        D   172.17.0.53     Eth-Trunk9
   172.17.100.1/32  ISIS-L2 115  4000        D   172.17.0.53     Eth-Trunk9
   172.17.100.3/32  ISIS-L2 115  2000        D   172.17.0.77     Eth-Trunk6
   172.17.100.4/32  ISIS-L2 115  800         D   172.17.0.99     100GE0/0/5
   172.17.100.5/32  ISIS-L2 115  5500        D   172.17.0.53     Eth-Trunk9
   172.17.100.6/32  ISIS-L2 115  1000        D   172.17.0.53     Eth-Trunk9
   172.17.100.7/32  Direct  0    0           D   127.0.0.1       LoopBack100
   172.17.100.8/32  ISIS-L2 115  500         D   172.17.0.77     Eth-Trunk6
   172.17.100.9/32  ISIS-L2 115  998         D   172.17.0.77     Eth-Trunk6
  172.17.100.10/32  ISIS-L2 115  800         D   172.17.0.91     100GE0/0/4
  172.17.100.11/32  ISIS-L2 115  6510        D   172.17.0.32     Eth-Trunk2
  172.17.100.12/32  ISIS-L2 115  1300        D   172.17.0.99     100GE0/0/5
  172.17.100.13/32  ISIS-L2 115  6010        D   172.17.0.32     Eth-Trunk2
  172.17.100.14/32  ISIS-L2 115  1400        D   172.17.0.99     100GE0/0/5
  172.17.100.15/32  ISIS-L2 115  500         D   172.17.0.53     Eth-Trunk9
  172.17.100.17/32  ISIS-L2 115  1010        D   172.17.0.32     Eth-Trunk2

<rtaratp2>
